101,1130,115
102,1159,160
103,1132,209
104,1155,253
105,1129,295
106,1052,66
107,1076,111
108,1047,156
109,1075,209
110,1051,252
111,1071,300
112,1049,346
113,996,67
114,972,120
115,996,162
116,973,212
117,995,262
118,971,303
119,994,342
120,916,121
121,894,162
122,922,216
123,894,267
124,911,307
201,859,388
202,880,429
203,854,479
204,881,532
205,854,579
206,805,389
207,781,432
208,801,479
209,781,532
210,802,575
211,784,615
212,736,341
213,710,389
214,733,435
215,712,474
216,741,531
217,709,579
218,731,619
219,655,386
220,626,432
221,648,477
222,621,528
223,655,572
224,649,577
301,598,120
302,626,164
303,600,216
304,624,266
305,604,299
306,527,76
307,554,122
308,529,164
309,555,219
310,529,264
311,550,303
312,525,347
313,475,73
314,448,119
315,471,162
316,442,212
317,468,261
318,449,302
319,471,348
320,398,119
321,373,159
322,393,213
323,367,254
324,393,302
401,344,387
402,371,437
403,346,477
404,365,529
405,341,569
406,259,340
407,283,388 
408,259,428
409,287,476
410,257,525
411,285,576
412,261,616
413,209,338
414,188,387
415,210,429
416,189,476
417,204,527
418,188,578
419,208,613
420,133,386
421,112,420
422,134,476
423,108,524
424,135,578
